Temperature,Jsc 2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3,Jsc4,Voc4,FF4,Hysteresis4,PCE4
20,0.99351,0.9935,0.98687,0.98711,1.00284,1.0028,1.00295,1.02182,1.02221,0.99348,0.9873,1.00307,1.02256,0.98368
20,0.9935,0.99348,0.98711,0.9873,1.0028,1.00295,1.00307,1.02221,1.02256,0.99346,0.98731,1.00315,1.0228,0.98359
20,0.99348,0.99346,0.9873,0.98731,1.00295,1.00307,1.00315,1.02256,1.0228,0.99344,0.98741,1.00325,1.02311,0.98352
20,0.99346,0.99344,0.98731,0.98741,1.00307,1.00315,1.00325,1.0228,1.02311,0.99342,0.98741,1.0032,1.0233,0.98347
20,0.99344,0.99342,0.98741,0.98741,1.00315,1.00325,1.0032,1.02311,1.0233,0.9934,0.98739,1.00318,1.02349,0.98345
20,0.99342,0.9934,0.98741,0.98739,1.00325,1.0032,1.00318,1.0233,1.02349,0.99337,0.98727,1.00315,1.02361,0.98344
20,0.9934,0.99337,0.98739,0.98727,1.0032,1.00318,1.00315,1.02349,1.02361,0.99334,0.98722,1.00314,1.0238,0.98345
20,0.99337,0.99334,0.98727,0.98722,1.00318,1.00315,1.00314,1.02361,1.0238,0.99333,0.98719,1.00311,1.02399,0.98349
20,0.99334,0.99333,0.98722,0.98719,1.00315,1.00314,1.00311,1.0238,1.02399,0.99331,0.98693,1.00304,1.024,0.98354
20,0.99333,0.99331,0.98719,0.98693,1.00314,1.00311,1.00304,1.02399,1.024,0.99328,0.98667,1.00299,1.02407,0.98361
20,0.99331,0.99328,0.98693,0.98667,1.00311,1.00304,1.00299,1.024,1.02407,0.99323,0.98662,1.00301,1.02465,0.9837
20,0.99328,0.99323,0.98667,0.98662,1.00304,1.00299,1.00301,1.02407,1.02465,0.99322,0.98693,1.00317,1.02515,0.98381
20,0.99323,0.99322,0.98662,0.98693,1.00299,1.00301,1.00317,1.02465,1.02515,0.99319,0.98687,1.00312,1.02528,0.98392
20,0.99322,0.99319,0.98693,0.98687,1.00301,1.00317,1.00312,1.02515,1.02528,0.99318,0.98696,1.00319,1.02561,0.98405
20,0.99319,0.99318,0.98687,0.98696,1.00317,1.00312,1.00319,1.02528,1.02561,0.99317,0.98711,1.0033,1.02599,0.98419
20,0.99318,0.99317,0.98696,0.98711,1.00312,1.00319,1.0033,1.02561,1.02599,0.99317,0.98728,1.00338,1.02639,0.98434
20,0.99317,0.99317,0.98711,0.98728,1.00319,1.0033,1.00338,1.02599,1.02639,0.99314,0.98718,1.00337,1.02654,0.9845
20,0.99317,0.99314,0.98728,0.98718,1.0033,1.00338,1.00337,1.02639,1.02654,0.99314,0.98735,1.00344,1.02692,0.98466
20,0.99314,0.99314,0.98718,0.98735,1.00338,1.00337,1.00344,1.02654,1.02692,0.99312,0.98751,1.00353,1.02729,0.98484
20,0.99314,0.99312,0.98735,0.98751,1.00337,1.00344,1.00353,1.02692,1.02729,0.99312,0.98799,1.00375,1.02795,0.98502
20,0.99312,0.99312,0.98751,0.98799,1.00344,1.00353,1.00375,1.02729,1.02795,0.99311,0.98849,1.004,1.0286,0.98521
