Temperature,Jsc2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3
50,1.00202,1.00144,1.00568,1.0057,1.001,1.00089,1.00079,0.97911,0.97902
50,1.00144,1.00192,1.0057,1.00568,1.00089,1.00079,1.00068,0.97902,0.97906
50,1.00192,1.00119,1.00568,1.00566,1.00079,1.00068,1.00057,0.97906,0.97896
50,1.00119,1.00241,1.00566,1.00564,1.00068,1.00057,1.00045,0.97896,0.97875
50,1.00241,1.00208,1.00564,1.00562,1.00057,1.00045,1.00034,0.97875,0.97867
50,1.00208,1.00209,1.00562,1.0056,1.00045,1.00034,1.00023,0.97867,0.97825
50,1.00209,1.00191,1.0056,1.00558,1.00034,1.00023,1.00011,0.97825,0.97819
50,1.00191,1.00195,1.00558,1.00558,1.00023,1.00011,0.99999,0.97819,0.97803
50,1.00195,1.00172,1.00558,1.00559,1.00011,0.99999,0.99988,0.97803,0.97789
50,1.00172,1.0013,1.00559,1.00558,0.99999,0.99988,0.99976,0.97789,0.9778
50,1.0013,1.00095,1.00558,1.00551,0.99988,0.99976,0.99964,0.9778,0.9777
50,1.00095,1.00208,1.00551,1.00546,0.99976,0.99964,0.99952,0.9777,0.97754
50,1.00208,1.00216,1.00546,1.00544,0.99964,0.99952,0.9994,0.97754,0.97744
50,1.00216,1.00156,1.00544,1.00541,0.99952,0.9994,0.99928,0.97744,0.97736
50,1.00156,1.00158,1.00541,1.00538,0.9994,0.99928,0.99916,0.97736,0.9772
50,1.00158,1.0021,1.00538,1.00537,0.99928,0.99916,0.99904,0.9772,0.97708
50,1.0021,1.00146,1.00537,1.00537,0.99916,0.99904,0.99892,0.97708,0.97702
50,1.00146,1.0008,1.00537,1.0053,0.99904,0.99892,0.9988,0.97702,0.97689
50,1.0008,1.00122,1.0053,1.00526,0.99892,0.9988,0.99868,0.97689,0.97665
50,1.00122,1.00119,1.00526,1.00522,0.9988,0.99868,0.99857,0.97665,0.97647
