Jsc4,Voc4,FF4,Hysteresis4,PCE4
0.99552,1.00559,0.99741,0.95663,0.99817
0.99511,1.00557,0.99737,0.95642,0.99805
0.99477,1.00561,0.99734,0.95632,0.99802
0.99511,1.00563,0.9973,0.95653,0.99799
0.99601,1.00564,0.99726,0.95633,0.99794
0.99541,1.0057,0.99722,0.95623,0.99797
0.99568,1.00568,0.99718,0.95615,0.99783
0.99426,1.0057,0.99713,0.95582,0.9978
0.9949,1.00571,0.99709,0.95572,0.99781
0.99437,1.00573,0.99704,0.95598,0.99777
0.99454,1.00571,0.99699,0.95577,0.99762
0.99404,1.00572,0.99694,0.95575,0.99758
0.99508,1.00573,0.99689,0.95564,0.99759
0.99479,1.00571,0.99683,0.95541,0.99754
0.99482,1.00568,0.99677,0.95581,0.99735
0.99467,1.00569,0.99672,0.95556,0.9975
0.99438,1.0057,0.99666,0.95539,0.99748
0.99475,1.0057,0.9966,0.95528,0.99746
0.99509,1.0057,0.99653,0.95515,0.99738
0.9956,1.00566,0.99647,0.95504,0.99727
0.99421,1.00566,0.9964,0.95498,0.99722
0.99505,1.00565,0.99634,0.95484,0.99716
0.99512,1.00563,0.99627,0.95461,0.99699
0.99445,1.00562,0.9962,0.9544,0.99688
0.99495,1.00561,0.99612,0.95424,0.99684
0.99421,1.00555,0.99605,0.954,0.99668
0.99457,1.00554,0.99598,0.95388,0.99662
0.99554,1.0055,0.9959,0.95378,0.99633
0.99537,1.00547,0.99582,0.95378,0.99612
0.99581,1.00545,0.99574,0.95361,0.99608
0.99506,1.00547,0.99566,0.95353,0.99607
0.99507,1.00545,0.99558,0.95339,0.99596
0.99505,1.00546,0.9955,0.95346,0.99666
0.99488,1.00543,0.99542,0.95321,0.99648
0.99548,1.00543,0.99534,0.95317,0.99685
0.99496,1.00543,0.99525,0.95313,0.99684
0.99534,1.00545,0.99517,0.95324,0.99691
0.99527,1.00549,0.99509,0.95322,0.99787
0.99491,1.00542,0.995,0.95308,0.99748
0.99535,1.00541,0.99492,0.95296,0.99741
0.99485,1.00538,0.99483,0.95282,0.99715
0.99497,1.0054,0.99475,0.9528,0.99794
0.99558,1.00539,0.99467,0.9527,0.99856
0.99519,1.00531,0.99458,0.9527,0.99797
0.99555,1.00527,0.9945,0.95274,0.99751
0.99518,1.00524,0.99442,0.95267,0.9971
0.99438,1.00521,0.99433,0.95269,0.99669
0.99524,1.00519,0.99425,0.9527,0.99636
0.99503,1.0052,0.99418,0.95273,0.99616
0.99512,1.00522,0.9941,0.95273,0.99638
0.99556,1.00517,0.99402,0.95278,0.99614
0.99468,1.00516,0.99395,0.95287,0.99599
0.99554,1.00516,0.99387,0.9529,0.99558
0.9949,1.00514,0.9938,0.95302,0.99531
0.99496,1.00513,0.99373,0.95323,0.99492
0.99494,1.00508,0.99367,0.95332,0.99449
0.9944,1.00507,0.9936,0.95332,0.99426
0.99491,1.00503,0.99354,0.95345,0.99388
0.9952,1.00505,0.99349,0.95351,0.99373
